id,title,publisher,url,notes
22,IBHS / RICOWI Roof Guide: Codes and Standards,IBHS,https://ibhs.org/guidance/ricowi-roof-guide-codes-and-standards/,"Roofing codes and standards overview; IBC Chapter 15, IRC Chapter 9, IEBC Chapter 7."
23,OSHA 29 CFR 1926.501 - Duty to have fall protection,Occupational Safety and Health Administration,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.501,"Fall protection for construction, including residential and roofing work."
24,OSHA 29 CFR 1926 Subpart X - Stairways and Ladders,Occupational Safety and Health Administration,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartX,Ladders and stairways standards applicable to construction work.
25,Owens Corning Roofing Product Install Instructions,Owens Corning,https://www.owenscorning.com/en-us/roofing/install-instructions,"Central official installation instructions resource for shingles, underlayment, vents, and components."
26,Owens Corning Duration Series Shingles Installation Instructions,Owens Corning,https://www.owenscorning.com/en-us/roofing/install-instructions/duration-series,Duration series application instructions and local code compliance.
27,Owens Corning Roofing Shingle Warranties,Owens Corning,https://www.owenscorning.com/en-us/roofing/warranty,Warranty comparison and coverage resources.
28,Owens Corning System Protection Limited Lifetime Warranty,Owens Corning / Cloudfront hosted document,https://dcpd6wotaa0mb.cloudfront.net/mdms/dms/Roofing/10020610/10020610-System-Protection-Legalese.pdf?v=1733734694000,Eligibility requirements; registered installation by Preferred/Platinum Contractor and system component requirements.
29,GAF Document Library,GAF,https://www.gaf.com/en-us/document-library,"Official GAF installation instructions, data sheets, warranties, and technical documents."
30,GAF Warranty and Guarantee Resources,GAF,https://www.gaf.com/en-us/resources/warranties,GAF warranty categories and component requirements.
31,GAF Timberline LayerLock Installation Instructions,GAF,https://www.gaf.com/en-us/document-library/documents/installation-instructions-%26-guides/timberline-layerlock-installation-instructions-trilingual-restl622.pdf,"Fasteners, hand sealing, valleys, and application details."
32,GAF Shingle and Accessory Limited Warranty,GAF,https://www.gaf.com/en-us/document-library/documents/warranties/gaf-shingle-and-accessory-limited-warranty-reswt160l.pdf,Warranty conditioned on strict accordance with GAF application instructions.
33,CertainTeed Documents and Downloads,CertainTeed,https://www.certainteed.com/products/documents-downloads,"Official technical, installation, warranty, and sustainability documents."
34,CertainTeed Warranty Information,CertainTeed,https://www.certainteed.com/documents-downloads/warranty-information,Warranty claim and warranty document resource.
35,CertainTeed Asphalt Shingle Products Limited Warranty,CertainTeed / BuildSite hosted document,https://www.buildsite.com/pdf/certainteed/CertainTeed-Asphalt-Shingle-Products-Limited-Warranty-Warranty-1814220.pdf,Warranty terms and covered products.
36,TAMKO Documents,TAMKO,https://www.tamko.com/professionals/download-gallery/documents,Official TAMKO document center.
37,TAMKO Warranty Center,TAMKO,https://www.tamko.com/warranty-center,Warranty claim and warranty support portal.
38,TAMKO Heritage Installation Instructions,TAMKO / BuildSite hosted document,https://www.buildsite.com/pdf/tamko/Heritage-Installation-Instructions-2919810.pdf,Manufacturer application instructions; failure to follow instructions affects limited warranty coverage.
39,"Asphalt Roofing Manufacturers Association, Steep Slope Roofing Underlayment",ARMA,https://www.asphaltroofing.org/steep-slope-roofing-underlayment/,Underlayment guidance and instruction to consult local codes and manufacturer requirements.
40,"Building America Solution Center, Asphalt Shingle Roofs",U.S. DOE / PNNL Building America Solution Center,https://basc.pnnl.gov/resource-guides/asphalt-shingle-roofs,"Roof replacement as opportunity to upgrade deck attachment, underlayment, flashing, and above-code strategies."
41,IBHS Releases Updated Resilient Construction Standards,IBHS,https://ibhs.org/ibhs-news-releases/ibhs-releases-updated-resilient-construction-standards/,2025 FORTIFIED standards and beyond-code construction/re-roofing method.
42,FORTIFIED Technical Documents,FORTIFIED / IBHS,https://fortifiedhome.org/technical-documents/,Roof standards technical documents and installation details.
43,"Inspector Roofing University, Claim Verifiability: The Evidence Standard for Insurance Roof Claims",Inspector Roofing University / Inspector Roofing and Restoration,https://inspector-roofing.com/claim-verifiability/,"Inspector Roofing definition standard; objectivity, completeness, traceability, continuity."
